"","Airport.Name","Total Flights","Delayed Flights","Delayed Percentage"
"3725","Juan Mendoza Airport",18,7,38.8888888888889
"3726","Juan Pablo Pérez Alfonso Airport",5,3,60
"3727","Juan Santamaria International Airport",5,3,60
"3728","Juan Simons Vela Airport",13,5,38.4615384615385
"3729","Juana Azurduy De Padilla Airport",14,6,42.8571428571429
"3730","Juancho E. Yrausquin Airport",15,5,33.3333333333333
"3731","Juanda International Airport",8,1,12.5
"3732","Juanjui Airport",11,4,36.3636363636364
"3733","Juba International Airport",2,1,50
"3734","Jubail Airport",7,3,42.8571428571429
"3735","Juist Airport",15,5,33.3333333333333
"3736","Julia Creek Airport",10,3,30
"3737","Julius Nyerere International Airport",17,4,23.5294117647059
"3738","Jumandy Airport",9,5,55.5555555555556
"3739","Jumla Airport",6,3,50
"3740","Jundah Airport",3,1,33.3333333333333
"3741","Juneau International Airport",13,5,38.4615384615385
"3742","Junin Airport",10,1,10
"3743","Jurado Airport",14,2,14.2857142857143
"3744","Jurien Bay Airport",9,7,77.7777777777778
"3745","Juruena Airport",10,2,20
"3746","Juscelino Kubitscheck Airport",7,1,14.2857142857143
"3747","Jutigalpa airport",10,4,40
"3748","Juvenal Loureiro Cardoso Airport",10,3,30
"3749","Juwata Airport",8,3,37.5
"3750","Juína Airport",8,3,37.5
"3751","Jwaneng Airport",9,3,33.3333333333333
"3752","Jyvaskyla Airport",13,4,30.7692307692308
"3753","Jérémie Airport",8,3,37.5
"3754","Jönköping Airport",17,6,35.2941176470588
"3755","Júlio de Castilho Airport",8,1,12.5
"3756","K. D. Matanzima Airport",9,2,22.2222222222222
"3757","Kaadedhdhoo Airport",18,8,44.4444444444444
"3758","Kaanapali Airport",7,2,28.5714285714286
"3759","Kabala Airport",11,5,45.4545454545455
"3760","Kabalo Airport",10,2,20
"3761","Kaben Airport",10,4,40
"3762","Kabri Dehar Airport",10,2,20
"3763","Kabwum",12,7,58.3333333333333
"3764","Kadanwari Airport",5,0,0
"3765","Kadapa Airport",10,2,20
"3766","Kadena Air Base",11,3,27.2727272727273
"3767","Kadhdhoo Airport",6,2,33.3333333333333
"3768","Kadugli Airport",4,2,50
"3769","Kaduna Airport",7,1,14.2857142857143
"3770","Kaghau Airport",12,3,25
"3771","Kagi Airport",17,5,29.4117647058824
"3772","Kagoshima Airport",14,5,35.7142857142857
"3773","Kagua Airport",13,5,38.4615384615385
"3774","Kahramanmaraş Airport",17,6,35.2941176470588
"3775","Kahului Airport",5,3,60
"3776","Kaiapit Airport",17,9,52.9411764705882
"3777","Kaieteur International Airport",11,2,18.1818181818182
"3778","Kaikohe Airport",14,5,35.7142857142857
"3779","Kaikoura Airport",11,3,27.2727272727273
"3780","Kailashahar Airport",9,1,11.1111111111111
"3781","Kaili Airport",16,3,18.75
"3782","Kaimana Airport",10,1,10
"3783","Kaintiba Airport",12,3,25
"3784","Kairuku Airport",12,3,25
"3785","Kaitaia Airport",14,5,35.7142857142857
"3786","Kajaani Airport",12,7,58.3333333333333
"3787","Kakamega Airport",7,2,28.5714285714286
"3788","Kake Seaplane Base",16,4,25
"3789","Kakhnovka Airfield",11,5,45.4545454545455
"3790","Kakoro(Koroko) Airstrip",11,1,9.09090909090909
"3791","Kalabo Airport",9,5,55.5555555555556
"3792","Kalaeloa Airport",14,7,50
"3793","Kalakaket Creek AS Airport",13,5,38.4615384615385
"3794","Kalaleh Airport",14,4,28.5714285714286
"3795","Kalamata Airport",13,4,30.7692307692308
"3796","Kalamazoo Battle Creek International Airport",5,2,40
"3797","Kalat Airport",9,3,33.3333333333333
"3798","Kalaupapa Airport",14,3,21.4285714285714
"3799","Kalay Airport",11,5,45.4545454545455
"3800","Kalbarri Airport",11,4,36.3636363636364
"3801","Kalemie Airport",15,4,26.6666666666667
"3802","Kalgoorlie Boulder Airport",9,1,11.1111111111111
"3803","Kalibo International Airport",7,3,42.8571428571429
"3804","Kalimarau Airport",10,2,20
"3805","Kalkgurung Airport",15,5,33.3333333333333
"3806","Kalmar Airport",11,4,36.3636363636364
"3807","Kalokol Airport",17,6,35.2941176470588
"3808","Kalpowar Airport",15,7,46.6666666666667
"3809","Kalskag Airport",11,3,27.2727272727273
"3810","Kaltag Airport",11,5,45.4545454545455
"3811","Kalumburu Airport",15,2,13.3333333333333
"3812","Kalymnos Airport",13,7,53.8461538461538
"3813","Kamalpur Airport",13,2,15.3846153846154
"3814","Kamaran Airport",12,5,41.6666666666667
"3815","Kamaran Downs Airport",8,3,37.5
"3816","Kamarang Airport",17,7,41.1764705882353
"3817","Kamarata Airport",13,2,15.3846153846154
"3818","Kambalda Airport",10,2,20
"3819","Kamberatoro Airport",14,4,28.5714285714286
"3820","Kambuaya Airport",8,1,12.5
"3821","Kamembe Airport",9,2,22.2222222222222
"3822","Kamileroi Airport",6,1,16.6666666666667
"3823","Kamina Airport",10,5,50
"3824","Kamina Base Airport",10,6,60
"3825","Kamiraba Airport",7,2,28.5714285714286
"3826","Kamishly Airport",13,6,46.1538461538462
"3827","Kamloops Airport",9,2,22.2222222222222
"3828","Kamphaeng Saen Airport",8,4,50
"3829","Kampong Chhnang Airport",13,5,38.4615384615385
"3830","Kampot Airport",9,2,22.2222222222222
"3831","Kamulai Airport",9,5,55.5555555555556
"3832","Kamur Airport",10,3,30
"3833","Kamusi Airport",11,2,18.1818181818182
"3834","Kanabea Airport",12,4,33.3333333333333
"3835","Kanainj Airport",11,1,9.09090909090909
"3836","Kananga Airport",7,2,28.5714285714286
"3837","Kanas Airport",7,3,42.8571428571429
"3838","Kandahar Airport",15,6,40
"3839","Kandep Airport",13,2,15.3846153846154
"3840","Kandi Airport",3,1,33.3333333333333
"3841","Kandla Airport",4,1,25
"3842","Kandrian Airport",6,2,33.3333333333333
"3843","Kaneohe Bay MCAS (Marion E. Carl Field) Airport",7,1,14.2857142857143
"3844","Kangaatsiaq Heliport",7,1,14.2857142857143
"3845","Kangding Airport",7,3,42.8571428571429
"3846","Kangerlussuaq Airport",13,5,38.4615384615385
"3847","Kangiqsualujjuaq (Georges River) Airport",11,3,27.2727272727273
"3848","Kangiqsujuaq (Wakeham Bay) Airport",13,6,46.1538461538462
"3849","Kangirsuk Airport",11,1,9.09090909090909
"3850","Kangra Airport",14,3,21.4285714285714
"3851","Kaniama Airport",10,4,40
"3852","Kankan Airport",11,2,18.1818181818182
"3853","Kankesanturai Airport",12,2,16.6666666666667
"3854","Kannur International Airport",8,2,25
"3855","Kanpur Airport",10,2,20
"3856","Kansai International Airport",13,2,15.3846153846154
"3857","Kansas City International Airport",4,1,25
"3858","Kantchari Airport",8,1,12.5
"3859","Kanti Airport",10,3,30
"3860","Kao Airport",15,5,33.3333333333333
"3861","Kaoh Kong Airport",6,1,16.6666666666667
"3862","Kaohsiung International Airport",12,3,25
"3863","Kaolack Airport",10,2,20
"3864","Kaoma Airport",10,4,40
"3865","Kapal Airport",12,4,33.3333333333333
"3866","Kapalua Airport",9,2,22.2222222222222
"3867","Kapanga Airport",8,3,37.5
"3868","Kapit Airport",12,2,16.6666666666667
"3869","Kapuskasing Airport",9,2,22.2222222222222
"3870","Kar Kar Airport",2,1,50
"3871","Karamay Airport",21,7,33.3333333333333
"3872","Karanambo Airport",14,6,42.8571428571429
"3873","Karasabai Airport",10,2,20
"3874","Karato Airport",7,3,42.8571428571429
"3875","Karawari Airstrip",12,5,41.6666666666667
"3876","Kariba International Airport",12,5,41.6666666666667
"3877","Karimui Airport",5,1,20
"3878","Karl Stefan Memorial Airport",11,5,45.4545454545455
"3879","Karlovy Vary International Airport",13,5,38.4615384615385
"3880","Karlskoga Airport",10,5,50
"3881","Karlsruhe Baden-Baden Airport",14,2,14.2857142857143
"3882","Karlstad Airport",4,1,25
"3883","Karluk Airport",13,3,23.0769230769231
"3884","Karluk Lake Seaplane Base",10,3,30
"3885","Karonga Airport",6,3,50
"3886","Karoola Airport",8,2,25
"3887","Karpathos Airport",6,3,50
"3888","Karratha Airport",10,2,20
"3889","Kars Airport",6,0,0
"3890","Karshi Khanabad Airport",7,1,14.2857142857143
"3891","Karubaga Airport",12,4,33.3333333333333
"3892","Karumba Airport",6,3,50
"3893","Karup Airport",9,1,11.1111111111111
"3894","Kasaan Seaplane Base",9,3,33.3333333333333
"3895","Kasaba Bay Airport",11,7,63.6363636363636
"3896","Kasabonika Airport",3,1,33.3333333333333
"3897","Kasama Airport",7,3,42.8571428571429
"3898","Kasane Airport",12,4,33.3333333333333
"3899","Kasba Lake Airport",3,3,100
"3900","Kasenga Airport",9,3,33.3333333333333
"3901","Kasese Airport",14,4,28.5714285714286
"3902","Kashan Airport",11,4,36.3636363636364
"3903","Kashechewan Airport",11,4,36.3636363636364
"3904","Kashgar Airport",14,4,28.5714285714286
"3905","Kasigluk Airport",5,4,80
"3906","Kasiguncu Airport",8,1,12.5
"3907","Kasompe Airport",14,7,50
"3908","Kasonombe Airport",11,3,27.2727272727273
"3909","Kasos Airport",11,5,45.4545454545455
"3910","Kassala Airport",14,6,42.8571428571429
"3911","Kassel-Calden Airport",13,4,30.7692307692308
"3912","Kastamonu Airport",9,5,55.5555555555556
"3913","Kastelorizo Airport",12,3,25
"3914","Kastoria National Airport",13,2,15.3846153846154
"3915","Kasungu Airport",10,5,50
"3916","Katanning Airport",10,4,40
"3917","Katiola Airport",9,1,11.1111111111111
"3918","Katiu Airport",11,4,36.3636363636364
"3919","Kato Airport",8,3,37.5
"3920","Katowice International Airport",5,2,40
"3921","Katsina Airport",10,4,40
"3922","Katukurunda Air Force Base",6,3,50
"3923","Kauehi Airport",12,4,33.3333333333333
"3924","Kaufana Airport",11,4,36.3636363636364
"3925","Kauhajoki Airport",12,5,41.6666666666667
"3926","Kauhava Airport",13,5,38.4615384615385
"3927","Kaukura Airport",10,6,60
"3928","Kaunas International Airport",11,4,36.3636363636364
"3929","Kautokeino Air Base",15,2,13.3333333333333
"3930","Kavalerovo Airport",11,6,54.5454545454545
"3931","Kavanayen Airport",12,4,33.3333333333333
"3932","Kavieng Airport",15,6,40
"3933","Kawama Airport",6,4,66.6666666666667
"3934","Kawito Airport",13,4,30.7692307692308
"3935","Kawthoung Airport",8,4,50
"3936","Kaya Airport",10,4,40
"3937","Kayenta Airport",9,1,11.1111111111111
"3938","Kayes Dag Dag Airport",10,5,50
"3939","Kayseri Erkilet Airport",8,3,37.5
"3940","Kazan International Airport",7,3,42.8571428571429
"3941","Kazi Nazrul Islam Airport",10,3,30
"3942","Kaédi Airport",9,3,33.3333333333333
"3943","Kaélé Airport",14,4,28.5714285714286
"3944","Kearney Regional Airport",8,3,37.5
"3945","Kebar Airport",10,1,10
"3946","Keesler Air Force Base",16,4,25
"3947","Keewaywin Airport",16,5,31.25
"3948","Kefallinia Airport",18,7,38.8888888888889
"3949","Keflavik International Airport",10,1,10
"3950","Kegaska Airport",9,5,55.5555555555556
"3951","Kegelman AF Aux Field",8,3,37.5
"3952","Keglsugl Airport",7,3,42.8571428571429
"3953","Keisah Airport",15,5,33.3333333333333
"3954","Kelafo East Airport",21,6,28.5714285714286
"3955","Kelani-Peliyagoda Seaplane Base",19,4,21.0526315789474
"3956","Kelanoa Airport",16,6,37.5
"3957","Kelila Airport",14,2,14.2857142857143
"3958","Kelle Airport",12,5,41.6666666666667
"3959","Kelowna International Airport",8,4,50
"3960","Kelsey Airport",14,2,14.2857142857143
"3961","Keluang Airport",11,4,36.3636363636364
"3962","Kemerovo Airport",5,1,20
"3963","Kemi-Tornio Airport",9,1,11.1111111111111
"3964","Kemmerer Municipal Airport",11,3,27.2727272727273
"3965","Kempegowda International Airport",9,5,55.5555555555556
"3966","Kempsey Airport",19,6,31.5789473684211
"3967","Ken Jones Airport",17,5,29.4117647058824
"3968","Kenai Municipal Airport",16,6,37.5
"3969","Kendall-Tamiami Executive Airport",8,1,12.5
"3970","Kenema Airport",9,5,55.5555555555556
"3971","Kengtung Airport",11,7,63.6363636363636
"3972","Kenieba Airport",11,7,63.6363636363636
"3973","Keningau Airport",12,3,25
"3974","Kenitra Airport",6,2,33.3333333333333
"3975","Kenmore Air Harbor Inc Seaplane Base",13,4,30.7692307692308
"3976","Kenmore Air Harbor Seaplane Base",12,3,25
"3977","Kenneth Kaunda International Airport Lusaka",5,1,20
"3978","Kennett Memorial Airport",15,4,26.6666666666667
"3979","Kenora Airport",13,2,15.3846153846154
"3980","Kenosha Regional Airport",9,3,33.3333333333333
"3981","Kent International Airport",13,5,38.4615384615385
"3982","Kentland Municipal Airport",9,2,22.2222222222222
"3983","Keokuk Municipal Airport",10,3,30
"3984","Kepi Airport",6,2,33.3333333333333
"3985","Kerama Airport",11,6,54.5454545454545
"3986","Kerang Airport",14,2,14.2857142857143
"3987","Kerau Airport",5,1,20
"3988","Kerch Airport",12,4,33.3333333333333
"3989","Kerema Airport",19,7,36.8421052631579
"3990","Kericho Airport",9,2,22.2222222222222
"3991","Kerikeri Airport",5,1,20
"3992","Kerio Valley Airport",10,2,20
"3993","Kerman Airport",11,5,45.4545454545455
"3994","Kerrville Municipal Louis Schreiner Field",12,5,41.6666666666667
"3995","Kerry Airport",13,1,7.69230769230769
"3996","Kerteh Airport",10,2,20
"3997","Keshod Airport",11,1,9.09090909090909
"3998","Ketapang(Rahadi Usman) Airport",11,2,18.1818181818182
"3999","Ketchikan Harbor Seaplane Base",10,2,20
"4000","Ketchikan International Airport",11,3,27.2727272727273
"4001","Key Field",15,4,26.6666666666667
"4002","Key Lake Airport",6,1,16.6666666666667
"4003","Key West International Airport",7,2,28.5714285714286
"4004","Khabarovsk-Novy Airport",6,3,50
"4005","Khajuraho Airport",14,6,42.8571428571429
"4006","Khan Jahan Ali Airport",11,3,27.2727272727273
"4007","Khaneh Airport",13,6,46.1538461538462
"4008","Khanty Mansiysk Airport",12,5,41.6666666666667
"4009","Khark Island Airport",7,2,28.5714285714286
"4010","Kharkhorin Airport",15,5,33.3333333333333
"4011","Kharkiv International Airport",14,3,21.4285714285714
"4012","Khartoum International Airport",6,1,16.6666666666667
"4013","Khasab Air Base",9,5,55.5555555555556
"4014","Khashm El Girba Airport",11,3,27.2727272727273
"4015","Khatanga Airport",10,3,30
"4016","Khatgal Airport",12,3,25
"4017","Kherson International Airport",9,2,22.2222222222222
"4018","Khmelnytskyi Airport",13,6,46.1538461538462
"4019","Khoka Moya Airport",9,2,22.2222222222222
"4020","Khon Kaen Airport",11,5,45.4545454545455
"4021","Khoram Abad Airport",16,8,50
"4022","Khost Airport",10,3,30
"4023","Khovd Airport",11,7,63.6363636363636
"4024","Khowai Airport",7,1,14.2857142857143
"4025","Khoy Airport",6,1,16.6666666666667
"4026","Khrabrovo Airport",10,1,10
"4027","Khudzhand Airport",6,2,33.3333333333333
"4028","Khujirt Airport",6,1,16.6666666666667
"4029","Khuzdar Airport",10,4,40
"4030","Khwahan Airport",14,2,14.2857142857143
"4031","Khwai River Lodge Airport",12,3,25
"4032","Kibuli Airstrip",12,4,33.3333333333333
"4033","Kickapoo Downtown Airport",9,2,22.2222222222222
"4034","Kiel-Holtenau Airport",7,4,57.1428571428571
"4035","Kiev Zhuliany International Airport",8,3,37.5
"4036","Kiffa Airport",8,3,37.5
"4037","Kigali International Airport",9,2,22.2222222222222
"4038","Kigoma Airport",12,6,50
"4039","Kikai Airport",8,2,25
"4040","Kikinonda Airport",10,3,30
"4041","Kikori Airport",13,2,15.3846153846154
"4042","Kikwit Airport",10,3,30
"4043","Kilaguni Airport",10,5,50
"4044","Kili Airport",13,7,53.8461538461538
"4045","Kilimanjaro International Airport",8,4,50
"4046","Kilkenny Airport",11,2,18.1818181818182
"4047","Kilwa Airport",17,7,41.1764705882353
"4048","Kilwa Masoko Airport",10,3,30
"4049","Kimaam Airport",9,1,11.1111111111111
"4050","Kiman Airport",10,2,20
"4051","Kimbe Airport",11,3,27.2727272727273
"4052","Kimberley Airport",14,2,14.2857142857143
"4053","Kimberley Downs Airport",9,3,33.3333333333333
"4054","Kimble County Airport",7,1,14.2857142857143
"4055","Kimmirut Airport",9,5,55.5555555555556
"4056","Kincardine Municipal Airport",11,3,27.2727272727273
"4057","Kindamba Airport",10,2,20
"4058","Kindersley Airport",14,5,35.7142857142857
"4059","Kindu Airport",11,3,27.2727272727273
"4060","King Abdulaziz Air Base",10,3,30
"4061","King Abdulaziz International Airport",6,0,0
"4062","King Cove Airport",9,3,33.3333333333333
"4063","King Fahd International Airport",10,4,40
"4064","King Hussein Air College",11,3,27.2727272727273
"4065","King Island Airport",7,3,42.8571428571429
"4066","King Khaled Air Base",7,3,42.8571428571429
"4067","King Khaled International Airport",10,3,30
"4068","King Khaled Military City Airport",14,2,14.2857142857143
"4069","King Mswati III International Airport",14,5,35.7142857142857
"4070","King Salman Abdulaziz Airport",11,4,36.3636363636364
"4071","King Salmon Airport",10,3,30
"4072","King Shaka International Airport",6,3,50
"4073","Kingaroy Airport",11,4,36.3636363636364
"4074","Kingfisher Lake Airport",11,1,9.09090909090909
"4075","Kingman Airport",13,8,61.5384615384615
"4076","Kings Canyon Airport",11,4,36.3636363636364
"4077","Kings Creek Airport",13,1,7.69230769230769
"4078","Kingscote Airport",13,1,7.69230769230769
"4079","Kingston Norman Rogers Airport",12,4,33.3333333333333
"4080","Kingsville Naval Air Station",9,2,22.2222222222222
"4081","Kinkungwa Airport",13,6,46.1538461538462
"4082","Kinmen Airport",7,2,28.5714285714286
"4083","Kinston Regional Jetport At Stallings Field",15,5,33.3333333333333
"4084","Kipnuk Airport",19,3,15.7894736842105
"4085","Kira Airport",12,6,50
"4086","Kirawira B Aerodrome",11,3,27.2727272727273
"4087","Kirensk Airport",11,3,27.2727272727273
"4088","Kirk Field",11,7,63.6363636363636
"4089","Kirkenes Airport (Høybuktmoen)",6,2,33.3333333333333
"4090","Kirkimbie Station Airport",13,5,38.4615384615385
"4091","Kirkland Lake Airport",11,2,18.1818181818182
"4092","Kirksville Regional Airport",11,2,18.1818181818182
"4093","Kirkuk Air Base",12,4,33.3333333333333
"4094","Kirkwall Airport",10,2,20
"4095","Kirovograd Airport",9,3,33.3333333333333
"4096","Kirovsk-Apatity Airport",14,3,21.4285714285714
"4097","Kirsch Municipal Airport",6,2,33.3333333333333
"4098","Kiruna Airport",11,3,27.2727272727273
"4099","Kirundo Airport",13,4,30.7692307692308
"4100","Kiryat Shmona Airport",6,1,16.6666666666667
"4101","Kisengam Airport",11,2,18.1818181818182
"4102","Kish International Airport",11,1,9.09090909090909
"4103","Kishangarh Airport",11,3,27.2727272727273
"4104","Kisimayu Airport",10,2,20
"4105","Kissidougou Airport",12,2,16.6666666666667
"4106","Kissimmee Gateway Airport",8,5,62.5
"4107","Kisumu Airport",15,7,46.6666666666667
"4108","Kitadaito Airport",15,8,53.3333333333333
"4109","Kitakyūshū Airport",13,5,38.4615384615385
"4110","Kitale Airport",10,6,60
"4111","Kitava Airport",9,0,0
"4112","Kitee Airport",7,2,28.5714285714286
"4113","Kithira Airport",15,2,13.3333333333333
"4114","Kitkatla Seaplane Base",14,3,21.4285714285714
"4115","Kitoi Bay Seaplane Base",12,4,33.3333333333333
"4116","Kitsissuarsuit Heliport",11,2,18.1818181818182
"4117","Kittilä Airport",13,4,30.7692307692308
"4118","Kiunga Airport",25,6,24
"4119","Kivalina Airport",5,2,40
"4120","Kiwai Airport",19,3,15.7894736842105
"4121","Kiwayu Airport",10,4,40
"4122","Klagenfurt Airport",18,2,11.1111111111111
"4123","Klaipėda Airport",12,2,16.6666666666667
"4124","Klawock Airport",8,1,12.5
"4125","Kleinsee Airport",9,2,22.2222222222222
"4126","Klemtu Water Aerodrome",14,2,14.2857142857143
"4127","Klokovo Airfield",12,3,25
"4128","Knee Lake Airport",11,5,45.4545454545455
"4129","Kneeland Airport",16,4,25
"4130","Knox County Regional Airport",9,4,44.4444444444444
"4131","Kobe Airport",14,7,50
"4132","Kobuk Airport",8,2,25
"4133","Kochi Airport (高知空港)",7,1,14.2857142857143
"4134","Kodiak Airport",10,4,40
"4135","Kodiak Municipal Airport",8,2,25
"4136","Kogalym International Airport",8,4,50
"4137","Koggala Airport",13,6,46.1538461538462
"4138","Kohat Airport",16,7,43.75
"4139","Koinambe Airport",7,1,14.2857142857143
"4140","Koingnaas Airport",10,7,70
"4141","Kokhanok Airport",8,2,25
"4142","Kokkola-Pietarsaari Airport",6,1,16.6666666666667
"4143","Kokoda Airport",5,1,20
"4144","Kokomo Municipal Airport",12,4,33.3333333333333
"4145","Kokonau Airport",16,6,37.5
"4146","Kokshetau Airport",19,11,57.8947368421053
"4147","Kol Airport",9,2,22.2222222222222
"4148","Kolda North Airport",11,5,45.4545454545455
"4149","Kolhapur Airport",13,2,15.3846153846154
"4150","Koliganek Airport",15,7,46.6666666666667
"4151","Kololo Airstrip",11,1,9.09090909090909
"4152","Koltsovo Airport",8,2,25
"4153","Kolwezi Airport",16,5,31.25
"4154","Komaio Airport",12,5,41.6666666666667
"4155","Komako Airport",13,4,30.7692307692308
"4156","Komatipoort Airport",14,5,35.7142857142857
"4157","Komatsu Airport",13,5,38.4615384615385
"4158","Komo-Manda Airport",8,5,62.5
"4159","Komodo Airport",15,4,26.6666666666667
"4160","Kompiam Airport",6,3,50
"4161","Komsomolsk-on-Amur Airport",8,4,50
"4162","Kon Airport",9,4,44.4444444444444
"4163","Konarak Airport",11,5,45.4545454545455
"4164","Konawaruk Airport",13,3,23.0769230769231
"4165","Kondavattavana Tank Seaplane Base",14,4,28.5714285714286
"4166","Kondobol Airport",6,0,0
"4167","Konduz Airport",12,3,25
"4168","Konge Airport",4,1,25
"4169","Kongiganak Airport",10,2,20
"4170","Kongolo Airport",11,3,27.2727272727273
"4171","Kontum Airport",13,5,38.4615384615385
"4172","Konya Airport",13,5,38.4615384615385
"4173","Kooddoo Airport",14,4,28.5714285714286
"4174","Koolatah Airport",22,10,45.4545454545455
"4175","Koolburra Airport",17,7,41.1764705882353
"4176","Kopiago Airport",7,3,42.8571428571429
"4177","Kopitnari Airport",9,1,11.1111111111111
"4178","Korhogo Airport",11,4,36.3636363636364
"4179","Korla Airport",15,6,40
"4180","Kornasoren Airfield",13,5,38.4615384615385
"4181","Koro Island Airport",8,1,12.5
"4182","Koroba Airport",13,6,46.1538461538462
"4183","Kos Airport",6,5,83.3333333333333
"4184","Kosipe Airport",4,1,25
"4185","Kosrae International Airport",14,5,35.7142857142857
"4186","Kostanay West Airport",13,6,46.1538461538462
"4187","Kosti Airport",9,2,22.2222222222222
"4188","Kostroma Sokerkino Airport",10,4,40
"4189","Koszalin Zegrze Pomorskie Air Base",13,7,53.8461538461538
"4190","Kota Airport",10,1,10
"4191","Kota Kinabalu International Airport",7,4,57.1428571428571
"4192","Kotabangun Airport",9,5,55.5555555555556
"4193","Kotakoli Airport",9,2,22.2222222222222
"4194","Kotlas Airport",12,2,16.6666666666667
"4195","Kotlik Airport",10,7,70
"4196","Kotoka International Airport",9,2,22.2222222222222
"4197","Koulamoutou Mabimbi Airport",8,0,0
"4198","Koumac Airport",12,4,33.3333333333333
"4199","Koumala Airport",15,3,20
"4200","Koutiala Airport",7,2,28.5714285714286
"4201","Kowanyama Airport",15,3,20
"4202","Koyuk Alfred Adams Airport",5,4,80
"4203","Koyukuk Airport",12,3,25
"4204","Košice Airport",10,5,50
"4205","Krabi Airport",12,3,25
"4206","Krainiy Airport",12,4,33.3333333333333
"4207","Krakor Airport",11,4,36.3636363636364
"4208","Kraków John Paul II International Airport",9,4,44.4444444444444
"4209","Kramatorsk Airport",18,11,61.1111111111111
"4210","Kramfors Sollefteå Airport",13,7,53.8461538461538
"4211","Krasnodar Pashkovsky International Airport",10,1,10
"4212","Krasnoselkup Airport",14,8,57.1428571428571
"4213","Kratie Airport",8,1,12.5
"4214","Kribi Airport",15,6,40
"4215","Kristiansand Airport",9,3,33.3333333333333
"4216","Kristianstad Airport",7,2,28.5714285714286
"4217","Kristiansund Airport (Kvernberget)",14,5,35.7142857142857
"4218","Kruger Mpumalanga International Airport",11,5,45.4545454545455
"4219","Kryvyi Rih International Airport",8,1,12.5
"4220","Krókstaðarmelar Airport",15,4,26.6666666666667
"4221","Kuala Lumpur International Airport",10,2,20
"4222","Kualanamu International Airport",11,3,27.2727272727273
"4223","Kuantan Airport",7,2,28.5714285714286
"4224","Kubin Airport",10,7,70
"4225","Kuching International Airport",15,4,26.6666666666667
"4226","Kudat Airport",9,3,33.3333333333333
"4227","Kufra Airport",10,4,40
"4228","Kugaaruk Airport",11,4,36.3636363636364
"4229","Kugluktuk Airport",9,2,22.2222222222222
"4230","Kuini Lavenia Airport",8,2,25
"4231","Kuito Airport",13,4,30.7692307692308
"4232","Kukudu Airport",9,2,22.2222222222222
"4233","Kulgera Airport",5,3,60
"4234","Kulik Lake Airport",18,8,44.4444444444444
"4235","Kullu Manali Airport",14,6,42.8571428571429
"4236","Kulob Airport",15,5,33.3333333333333
"4237","Kulusuk Airport",14,5,35.7142857142857
"4238","Kumamoto Airport",12,5,41.6666666666667
"4239","Kumasi Airport",10,5,50
"4240","Kumejima Airport",11,6,54.5454545454545
"4241","Kungim Airport",6,2,33.3333333333333
"4242","Kunming Changshui International Airport",10,5,50
"4243","Kunovice Airport",10,5,50
"4244","Kunsan Air Base",12,3,25
"4245","Kunua Airport",8,4,50
"4246","Kununurra Airport",9,4,44.4444444444444
"4247","Kuopio Airport",10,2,20
"4248","Kupiano Airport",7,0,0
"4249","Kuqa Airport",8,5,62.5
"4250","Kuressaare Airport",9,5,55.5555555555556
"4251","Kurgan Airport",12,1,8.33333333333333
"4252","Kuri Airport",7,2,28.5714285714286
"4253","Kuria Airport",21,6,28.5714285714286
"4254","Kursk East Airport",12,1,8.33333333333333
"4255","Kurumoch International Airport",11,2,18.1818181818182
"4256","Kurundi Airport",7,2,28.5714285714286
"4257","Kurwina Airport",12,4,33.3333333333333
"4258","Kushiro Airport",12,1,8.33333333333333
"4259","Kuujjuaq Airport",9,6,66.6666666666667
"4260","Kuujjuarapik Airport",9,1,11.1111111111111
"4261","Kuusamo Airport",9,2,22.2222222222222
"4262","Kuwait International Airport",11,3,27.2727272727273
"4263","Kuyol Airport",15,4,26.6666666666667
"4264","Kwailabesi Airport",12,1,8.33333333333333
"4265","Kwethluk Airport",11,4,36.3636363636364
"4266","Kwigillingok Airport",11,4,36.3636363636364
"4267","Kyaukpyu Airport",16,1,6.25
"4268","Kyauktu Airport",12,6,50
"4269","Kyle Oakley Field",17,9,52.9411764705882
"4270","Kyzyl Airport",10,4,40
"4271","Kzyl-Orda Southwest Airport",11,5,45.4545454545455
"4272","Kärdla Airport",11,2,18.1818181818182
"4273","Kédougou Airport",9,3,33.3333333333333
"4274","Kópasker Airport",11,3,27.2727272727273
"4275","Köthen Airport",12,4,33.3333333333333
"4276","Kōchi Ryōma Airport",7,5,71.4285714285714
"4277","L M Clayton Airport",17,7,41.1764705882353
"4278","L O Simenstad Municipal Airport",9,5,55.5555555555556
"4279","L'Aquila–Preturo Airport",9,2,22.2222222222222
"4280","L'Espérance Airport",12,6,50
"4281","L.F. Wade International International Airport",21,7,33.3333333333333
"4282","LBJ Ranch Airport",10,4,40
"4283","LTS Pulau Redang Airport",11,5,45.4545454545455
"4284","La Abraq Airport",11,3,27.2727272727273
"4285","La Araucanía Airport",7,1,14.2857142857143
"4286","La Aurora Airport",9,4,44.4444444444444
"4287","La Baule-Escoublac Airport",14,3,21.4285714285714
"4288","La Chinita International Airport",8,2,25
"4289","La Chorrera Airport",18,5,27.7777777777778
"4290","La Coloma Airport",7,3,42.8571428571429
"4291","La Crosse Municipal Airport",8,3,37.5
"4292","La Cumbre Airport",10,5,50
"4293","La Désirade Airport",9,3,33.3333333333333
"4294","La Esperanza Airport",7,2,28.5714285714286
"4295","La Florida Airport",27,12,44.4444444444444
